汲取了生命力的龙牙,https://patchwiki.biligame.com/images/ys/thumb/9/9e/jae6gj9701u68jjggm3h2i1lzongf1w.png/90px-%E6%B1%B2%E5%8F%96%E4%BA%86%E7%94%9F%E5%91%BD%E5%8A%9B%E7%9A%84%E9%BE%99%E7%89%99.png
奇异的「牙齿」,https://patchwiki.biligame.com/images/ys/thumb/c/cd/aahxj1sb98abj3p92anz1q459y8mz82.png/90px-%E5%A5%87%E5%BC%82%E7%9A%84%E3%80%8C%E7%89%99%E9%BD%BF%E3%80%8D.png
鳅鳅宝玉,https://patchwiki.biligame.com/images/ys/thumb/f/f2/t8sto1ouf12da51jzifvypca7pq8tl1.png/90px-%E9%B3%85%E9%B3%85%E5%AE%9D%E7%8E%89.png
魔晶块,https://patchwiki.biligame.com/images/ys/thumb/9/97/i4ihfq2bd0rlo2an9ey9shy7yy0hg17.png/90px-%E9%AD%94%E6%99%B6%E5%9D%97.png
精锻用魔矿,https://patchwiki.biligame.com/images/ys/thumb/5/58/iip4qyzbzacho0x969s2jy6kjgol24x.png/90px-%E7%B2%BE%E9%94%BB%E7%94%A8%E9%AD%94%E7%9F%BF.png
须弥蔷薇,https://patchwiki.biligame.com/images/ys/thumb/f/f4/l0rtmtunohm69199mayn1pc1s38bp71.png/90px-%E9%A1%BB%E5%BC%A5%E8%94%B7%E8%96%87.png
甘露饵,https://patchwiki.biligame.com/images/ys/thumb/2/2a/jcoi1vn5btqim6l6jgbw816nnlm0e44.png/90px-%E7%94%98%E9%9C%B2%E9%A5%B5.png
丛林精油,https://patchwiki.biligame.com/images/ys/thumb/b/bf/f73o1u333q96t9dydj98jvbctgay1uj.png/90px-%E4%B8%9B%E6%9E%97%E7%B2%BE%E6%B2%B9.png
治草药剂,https://patchwiki.biligame.com/images/ys/thumb/0/0a/r06i3bjmch8tel6rb4oo7b5g10gd0rr.png/90px-%E6%B2%BB%E8%8D%89%E8%8D%AF%E5%89%82.png
奶油,https://patchwiki.biligame.com/images/ys/thumb/c/c6/bjqqoovevcv8t5hlt134n0yyiu6dpfm.png/90px-%E5%A5%B6%E6%B2%B9.png
「霓裳花」的种子,https://patchwiki.biligame.com/images/ys/thumb/0/02/fqu2op210yo4qa4ccegemwnxc8snq7d.png/90px-%E3%80%8C%E9%9C%93%E8%A3%B3%E8%8A%B1%E3%80%8D%E7%9A%84%E7%A7%8D%E5%AD%90.png
星蕈,https://patchwiki.biligame.com/images/ys/thumb/f/f6/8fafxt2hwi60o6r00vghjwpu95652fo.png/90px-%E6%98%9F%E8%95%88.png
毗波耶,https://patchwiki.biligame.com/images/ys/thumb/f/fc/157f2hgtyenz8weec4tgle6gyaend6s.png/90px-%E6%AF%97%E6%B3%A2%E8%80%B6.png
「琉璃袋」的种子,https://patchwiki.biligame.com/images/ys/thumb/c/ce/4kl9pka75up33whi92d9z6gj0s52mlb.png/90px-%E3%80%8C%E7%90%89%E7%92%83%E8%A2%8B%E3%80%8D%E7%9A%84%E7%A7%8D%E5%AD%90.png
